ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07643;2022-02-02T07:00:00+01:00;102360;10.0;3;310;4.0;282.55;276.25;65;60000.0;0;;;;0;;;;;102260.0;;;-170.0;282.55;;285.05;;277.65;;;6.0;7.2;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;9.400000000000034;9.400000000000034;;11.900000000000034;;4.5;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2022-02-03T19:00:00+01:00;102010;10.0;3;250;0.6;282.75;277.55;70;60000.0;0;;;100.0;8;6960.0;;;;101910.0;;;-330.0;273.25;;290.35;;272.95;;;1.5;4.1;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;;6960.0;;;;;;;;;;43.577,3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;9.600000000000023;0.10000000000002274;;17.200000000000045;;-0.19999999999998863;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2022-02-04T07:00:00+01:00;101930;0.0;5;10;1.4;275.95;274.65;91;41260.0;0;;;;0;;;;;101830.0;;;-190.0;274.75;;282.75;;274.15;;;1.9;4.1;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;2.8000000000000114;1.6000000000000227;;9.600000000000023;;1.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2022-02-06T19:00:00+01:00;102580;70.0;3;300;6.7;284.25;274.45;51;60000.0;0;;;;;;;;;102480.0;;;;272.45;;287.45;;;;;;11.3;-10.0;;0.0;;;;0.0;;0.0;;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;11.100000000000023;-0.6999999999999886;;14.300000000000011;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2022-02-11T13:00:00+01:00;102660;-60.0;8;10;7.8;289.35;279.15;51;21090.0;0;;;;0;;;;;102560.0;;;-180.0;;;;;275.35;;;10.8;11.7;-10.0;;0.0;;;0.0;-0.1;-0.1;-0.1;-0.1;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.200000000000045;;;;;2.2000000000000455;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2022-04-21T14:00:00+02:00;100390;-160.0;8;340;3.5;290.25;286.35;78;60000.0;0;;;100.0;5;450.0;;;;100300.0;;;-500.0;;;;;285.85;;;6.7;6.7;-10.0;;0.0;;;-0.1;-0.1;0.6;0.8;8.6;;;;;2.0;;570.0;5.0;;720.0;8.0;;1560.0;;8;;43.577,3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.100000000000023;;;;;12.700000000000045;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;4
07643;2022-04-29T17:00:00+02:00;102150;-160.0;8;170;4.6;293.35;286.05;63;17000.0;0;;;;;;;;;102060.0;;;;;;;;;;;;7.2;-10.0;;0.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;20.200000000000045;;;;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;4
07643;2022-05-07T23:00:00+02:00;101820;200.0;3;340;3.2;291.25;282.05;55;60000.0;0;;;;0;;;;;101720.0;;;-70.0;;;;;288.55;;;4.1;4.1;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.100000000000023;;;;;15.400000000000034;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;5
07643;2022-05-11T23:00:00+02:00;102230;150.0;3;110;5.9;291.15;287.65;80;32330.0;0;;;;0;;;;;102130.0;;;100.0;;;;;290.35;;;8.0;8.2;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.0;;;;;17.200000000000045;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;5
07643;2022-06-03T05:00:00+02:00;101340;-130.0;8;10;1.5;291.85;288.95;83;45000.0;0;;;100.0;;;;;;101250.0;;;;;;;;;;;;4.6;-10.0;;0.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.700000000000045;;;;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;6
